Sector,Year,Month,Cereals and products,Meat and fish,Egg,Milk and products,Oils and fats,Fruits,Vegetables,Pulses and products,Sugar and Confectionery,Spices,Non-alcoholic beverages,"Prepared meals, snacks, sweets etc.",Food and beverages,"Pan, tobacco and intoxicants",Clothing,Footwear,Clothing and footwear,Housing,Fuel and light,Household goods and services,Health,Transport and communication,Recreation and amusement,Education,Personal care and effects,Miscellaneous,General index,Date,Monthly Growth Rate (%),Annual Growth Rate (%),Z-score,Outlier,Volatility
Rural,2013,January,107.5,106.3,108.1,104.9,106.1,103.9,101.9,106.1,106.8,103.1,104.8,106.7,105.5,105.1,106.5,105.8,106.4,,105.5,104.8,104.0,103.3,103.4,103.8,104.7,104.0,105.1,2013-01-01,,,-1.7199438209284608,No,
Rural,2013,February,109.2,108.7,110.2,105.4,106.7,104.0,102.4,105.9,105.7,103.1,105.1,107.7,106.3,105.6,107.1,106.3,107.0,,106.2,105.2,104.4,103.9,104.0,104.1,104.6,104.4,105.8,2013-02-01,0.6660323501427312,,-1.6883052251495043,No,
Rural,2013,March,110.2,108.8,109.9,105.6,106.2,105.7,101.4,105.7,105.0,103.3,105.6,108.2,106.6,106.5,107.6,106.8,107.5,,106.1,105.6,104.7,104.6,104.0,104.3,104.3,104.6,106.0,2013-03-01,0.1890359168241984,,-1.6792656263555166,No,0.47258156262526896
Rural,2013,April,110.2,109.5,106.9,106.3,105.7,108.3,103.4,105.7,104.2,103.2,106.5,108.8,107.1,107.1,108.1,107.4,108.0,,106.5,106.1,105.1,104.4,104.5,104.8,102.7,104.6,106.4,2013-04-01,0.3773584905660376,,-1.6611864287675413,No,0.3055050463304121
Rural,2013,May,110.9,109.8,105.9,107.5,105.3,108.1,107.3,106.1,103.7,104.0,107.4,109.9,108.1,108.1,108.8,107.9,108.6,,107.5,106.8,105.7,104.1,105.0,105.5,102.1,104.8,107.2,2013-05-01,0.7518796992481258,,-1.6250280335915914,No,0.611010092660797
Rural,2013,June,112.3,112.1,108.1,108.3,105.9,109.2,118.0,106.8,104.1,105.4,108.2,111.0,110.6,109.0,109.7,108.8,109.5,,108.5,107.5,106.3,105.0,105.6,106.5,102.5,105.5,108.9,2013-06-01,1.585820895522394,,-1.5481914438426974,No,1.2767145334803844
Rural,2013,July,113.4,114.9,110.5,109.3,106.2,110.3,129.2,107.1,104.3,106.4,109.1,112.1,113.1,109.8,110.5,109.5,110.3,,109.5,108.3,106.9,106.8,106.4,107.8,102.5,106.5,110.7,2013-07-01,1.6528925619834656,,-1.4668350546968096,No,1.7502380790433576
Rural,2013,August,114.3,115.4,111.1,110.0,106.4,110.8,138.9,107.4,104.1,106.9,109.7,112.6,114.9,110.7,111.3,110.2,111.1,,109.9,108.7,107.5,107.8,106.8,108.7,105.0,107.5,112.1,2013-08-01,1.2646793134597931,,-1.4035578631388974,No,1.6041612554021314
Rural,2013,September,115.4,115.7,111.7,111.0,107.4,110.9,154.0,108.1,104.2,107.9,110.4,114.0,117.8,111.7,112.7,111.4,112.5,,111.1,109.6,108.3,109.3,107.7,109.8,106.7,108.7,114.2,2013-09-01,1.873327386262269,,-1.308642075802028,No,1.7616280348965057
Rural,2013,October,116.3,115.4,112.6,111.7,107.7,113.2,164.9,108.3,103.9,108.2,111.1,114.9,119.8,112.2,113.6,112.3,113.4,,111.6,110.4,108.9,109.3,108.3,110.2,107.5,109.1,115.5,2013-10-01,1.138353765323985,,-1.2498846836411093,No,1.7156145643276945
