Date,Sector,Year,Month,Cereals and products,Meat and fish,Egg,Milk and products,Oils and fats,Fruits,Vegetables,Pulses and products,Sugar and Confectionery,Spices,Non-alcoholic beverages,"Prepared meals, snacks, sweets etc.",Food and beverages,"Pan, tobacco and intoxicants",Clothing,Footwear,Clothing and footwear,Housing,Fuel and light,Household goods and services,Health,Transport and communication,Recreation and amusement,Education,Personal care and effects,Miscellaneous,General index,Monthly Growth Rate (%),Annual Growth Rate (%),General index Monthly Inflation (%),Cereals and products Monthly Inflation (%),Meat and fish Monthly Inflation (%),Egg Monthly Inflation (%),Milk and products Monthly Inflation (%),Oils and fats Monthly Inflation (%),Fruits Monthly Inflation (%),Vegetables Monthly Inflation (%),Pulses and products Monthly Inflation (%),Sugar and Confectionery Monthly Inflation (%),Spices Monthly Inflation (%),Non-alcoholic beverages Monthly Inflation (%),"Prepared meals, snacks, sweets etc. Monthly Inflation (%)",Food and beverages Monthly Inflation (%),"Pan, tobacco and intoxicants Monthly Inflation (%)",Clothing Monthly Inflation (%),Footwear Monthly Inflation (%),Clothing and footwear Monthly Inflation (%),Housing Monthly Inflation (%),Fuel and light Monthly Inflation (%),Household goods and services Monthly Inflation (%),Health Monthly Inflation (%),Transport and communication Monthly Inflation (%),Recreation and amusement Monthly Inflation (%),Education Monthly Inflation (%),Personal care and effects Monthly Inflation (%),Miscellaneous Monthly Inflation (%),General index Annual Inflation (%),Cereals and products Annual Inflation (%),Meat and fish Annual Inflation (%),Egg Annual Inflation (%),Milk and products Annual Inflation (%),Oils and fats Annual Inflation (%),Fruits Annual Inflation (%),Vegetables Annual Inflation (%),Pulses and products Annual Inflation (%),Sugar and Confectionery Annual Inflation (%),Spices Annual Inflation (%),Non-alcoholic beverages Annual Inflation (%),"Prepared meals, snacks, sweets etc. Annual Inflation (%)",Food and beverages Annual Inflation (%),"Pan, tobacco and intoxicants Annual Inflation (%)",Clothing Annual Inflation (%),Footwear Annual Inflation (%),Clothing and footwear Annual Inflation (%),Housing Annual Inflation (%),Fuel and light Annual Inflation (%),Household goods and services Annual Inflation (%),Health Annual Inflation (%),Transport and communication Annual Inflation (%),Recreation and amusement Annual Inflation (%),Education Annual Inflation (%),Personal care and effects Annual Inflation (%),Miscellaneous Annual Inflation (%)
2013-01-01,Rural+Urban,2013,January,108.4,107.3,110.0,104.4,105.1,103.2,102.2,106.0,106.2,102.7,104.9,107.3,105.6,105.1,106.3,105.5,106.2,100.3,105.5,104.8,104.0,103.2,103.1,103.6,104.5,103.9,104.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-01,Rural+Urban,2013,February,110.4,110.2,112.8,104.9,105.5,103.6,103.2,105.3,105.1,102.8,105.5,108.3,106.6,105.7,106.9,106.0,106.8,100.4,106.0,105.2,104.5,104.2,103.6,103.9,104.5,104.4,105.3,0.6692160611854625,,0.6692160611854625,1.845018450184499,2.7027027027026973,2.5454545454545396,0.47892720306512704,0.38058991436726863,0.3875968992248069,0.9784735812133016,-0.6603773584905714,-1.0357815442561313,0.09737098344693162,0.5719733079122991,0.9319664492078328,0.9469696969697017,0.570884871550903,0.5644402634054746,0.4739336492890933,0.5649717514124131,0.09970089730808596,0.4739336492890933,0.3816793893129722,0.48076923076922906,0.9689922480620172,0.4849660523763344,0.28957528957529455,0.0,0.4812319538017418,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-01,Rural+Urban,2013,March,111.4,109.7,111.2,105.1,104.9,105.3,102.2,105.0,104.2,103.0,106.2,108.9,106.9,106.6,107.4,106.5,107.3,100.4,106.1,105.6,104.9,105.1,103.7,104.0,104.3,104.7,105.5,0.1899335232668608,,0.18993352326686086,0.9057971014492683,-0.45372050816696596,-1.4184397163120477,0.19065776930409228,-0.5687203791469142,1.6409266409266543,-0.9689922480620172,-0.2849002849002802,-0.8563273073263433,0.1945525291828787,0.6635071090047351,0.5540166204986319,0.2814258911820078,0.8514664143803197,0.467726847521055,0.4716981132075526,0.46816479400748623,0.0,0.09433962264151496,0.3802281368821214,0.3827751196172402,0.8637236084452882,0.09652509652511299,0.09624639076033503,-0.1913875598086201,0.2873563218390718,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-01,Rural+Urban,2013,April,111.6,110.9,106.6,105.7,104.4,108.9,105.5,105.3,103.5,103.3,107.2,109.6,107.7,107.5,108.0,107.0,107.9,100.5,106.5,106.3,105.3,104.7,104.2,105.0,102.9,104.8,106.1,0.5687203791469031,,0.5687203791469031,0.17953321364452268,1.0938924339106704,-4.1366906474820215,0.570884871550903,-0.4766444232602529,3.418803418803429,3.228962818003911,0.28571428571428914,-0.6717850287907945,0.2912621359223211,0.9416195856873921,0.642791551882449,0.7483629560336658,0.8442776735459789,0.5586592178770999,0.46948356807512415,0.5591798695246952,0.09960159362549792,0.3770028275212223,0.6628787878787845,0.38131553860818457,-0.38058991436725753,0.48216007714561027,0.9615384615384581,-1.3422818791946178,0.09551098376312517,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-01,Rural+Urban,2013,May,112.3,111.3,104.7,106.8,103.9,109.3,112.9,105.8,103.1,104.3,108.1,110.5,109.2,108.6,108.7,107.4,108.5,100.5,107.4,106.9,105.9,104.0,104.8,105.6,102.3,104.8,106.9,0.7540056550424223,,0.7540056550424223,0.6272401433691677,0.36068530207393756,-1.7823639774859235,1.0406811731314969,-0.47892720306513814,0.36730945821854544,7.014218009478679,0.47483380816715215,-0.38647342995169476,0.968054211035807,0.8395522388059629,0.8211678832116931,1.392757660167132,1.023255813953483,0.6481481481481532,0.37383177570093906,0.556070435588496,0.0,0.8450704225352101,0.5644402634054746,0.5698005698005826,-0.6685768863419317,0.5758157389635254,0.5714285714285561,-0.5830903790087549,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-01,Rural+Urban,2013,June,113.8,114.9,109.8,107.9,104.2,110.7,126.7,106.3,103.2,105.7,109.0,111.6,112.2,109.5,109.5,108.1,109.3,106.6,108.3,107.6,106.4,105.1,105.4,107.4,102.8,105.8,109.3,2.2450888681010195,,2.2450888681010195,1.3357079252003468,3.234501347708907,4.871060171919761,1.0299625468164875,0.2887391722810273,1.2808783165599413,12.223206377325058,0.4725897920604849,0.09699321047527132,1.342281879194629,0.8325624421831712,0.9954751131221684,2.7472527472527375,0.8287292817679592,0.7359705611775569,0.6517690875232685,0.7373271889400845,6.069651741293525,0.8379888268156277,0.6548175865294548,0.47214353163360645,1.057692307692304,0.5725190839694694,1.7045454545454586,0.4887585532746819,0.9541984732824416,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-01,Rural+Urban,2013,July,114.8,116.4,111.9,108.9,104.3,111.7,140.0,106.4,103.3,106.8,109.6,112.6,114.7,110.3,110.2,108.8,110.0,107.7,109.2,108.2,107.0,107.1,106.1,109.1,102.8,106.9,111.0,1.5553522415370669,,1.5553522415370669,0.8787346221441172,1.305483028720622,1.9125683060109422,0.9267840593141896,0.09596928982724684,0.9033423667569984,10.497237569060779,0.09407337723426057,0.09689922480620172,1.0406811731314969,0.5504587155963359,0.8960573476702427,2.2281639928698693,0.7305936073059405,0.6392694063926951,0.647548566142464,0.6404391582799596,1.0318949343339767,0.8310249307479367,0.5576208178438735,0.5639097744360777,1.9029495718363432,0.6641366223908873,1.5828677839850869,0.0,1.03969754253308,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-01,Rural+Urban,2013,August,115.6,117.2,111.7,109.6,104.5,109.8,151.8,106.5,103.1,107.4,110.2,113.4,116.6,111.2,111.0,109.4,110.7,108.9,109.7,108.7,107.5,108.0,106.6,109.9,105.4,107.9,112.4,1.2612612612612706,,1.2612612612612706,0.6968641114982521,0.6872852233676952,-0.17873100983021306,0.642791551882449,0.19175455417066445,-1.7009847806624956,8.42857142857143,0.09398496240600185,-0.1936108422071703,0.5617977528090012,0.5474452554744547,0.7104795737122638,1.6564952048822912,0.8159564823209564,0.7259528130671544,0.5514705882353033,0.6363636363636349,1.1142061281337101,0.45787545787545625,0.46210720887245316,0.4672897196261738,0.8403361344537785,0.47125353440151674,0.7332722273144077,2.529182879377445,0.9354536950420878,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-01,Rural+Urban,2013,September,116.4,116.9,112.3,110.5,105.3,107.3,160.9,107.1,103.1,108.3,110.7,114.6,118.3,112.0,112.2,110.4,111.9,109.7,110.5,109.6,108.1,109.9,107.5,110.6,106.8,109.0,113.7,1.1565836298932377,,1.1565836298932375,0.6920415224913601,-0.25597269624573205,0.5371530886302489,0.8211678832116931,0.765550239234436,-2.2768670309653904,5.994729907773388,0.5633802816901401,0.0,0.8379888268156277,0.45372050816696596,1.058201058201047,1.4579759862778818,0.7194244604316502,1.0810810810810922,0.9140767824497242,1.084010840108407,0.7346189164370909,0.7292616226071136,0.8279668813247376,0.5581395348837059,1.7592592592592604,0.8442776735459789,0.6369426751592355,1.3282732447817747,1.019462465245602,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-01,Rural+Urban,2013,October,117.1,116.3,113.3,111.2,105.7,109.9,171.2,107.3,102.7,108.7,111.2,115.4,120.2,112.5,113.2,111.2,112.8,110.5,110.9,110.3,108.6,109.5,108.1,110.8,107.4,109.2,114.8,0.9674582233949014,,0.9674582233949014,0.6013745704467333,-0.5132591958939337,0.8904719501335645,0.6334841628959254,0.3798670465337217,2.423112767940361,6.401491609695453,0.18674136321195078,-0.38797284190106307,0.3693444136657398,0.4516711833784992,0.6980802792321272,1.6060862214708482,0.44642857142858094,0.891265597147961,0.7246376811594235,0.8042895442359255,0.7292616226071136,0.36199095022624306,0.6386861313868675,0.46253469010175685,-0.36396724294813776,0.5581395348837059,0.1808318264014508,0.5617977528090012,0.18348623853210455,,,,,,,,,,,,,,,,,,,,,,,,,,,
