Date,Sector,Year,Month,Cereals and products,Meat and fish,Egg,Milk and products,Oils and fats,Fruits,Vegetables,Pulses and products,Sugar and Confectionery,Spices,Non-alcoholic beverages,"Prepared meals, snacks, sweets etc.",Food and beverages,"Pan, tobacco and intoxicants",Clothing,Footwear,Clothing and footwear,Housing,Fuel and light,Household goods and services,Health,Transport and communication,Recreation and amusement,Education,Personal care and effects,Miscellaneous,General index,Monthly Growth Rate (%),Annual Growth Rate (%),General index Monthly Inflation (%),Cereals and products Monthly Inflation (%),Meat and fish Monthly Inflation (%),Egg Monthly Inflation (%),Milk and products Monthly Inflation (%),Oils and fats Monthly Inflation (%),Fruits Monthly Inflation (%),Vegetables Monthly Inflation (%),Pulses and products Monthly Inflation (%),Sugar and Confectionery Monthly Inflation (%),Spices Monthly Inflation (%),Non-alcoholic beverages Monthly Inflation (%),"Prepared meals, snacks, sweets etc. Monthly Inflation (%)",Food and beverages Monthly Inflation (%),"Pan, tobacco and intoxicants Monthly Inflation (%)",Clothing Monthly Inflation (%),Footwear Monthly Inflation (%),Clothing and footwear Monthly Inflation (%),Housing Monthly Inflation (%),Fuel and light Monthly Inflation (%),Household goods and services Monthly Inflation (%),Health Monthly Inflation (%),Transport and communication Monthly Inflation (%),Recreation and amusement Monthly Inflation (%),Education Monthly Inflation (%),Personal care and effects Monthly Inflation (%),Miscellaneous Monthly Inflation (%),General index Annual Inflation (%),Cereals and products Annual Inflation (%),Meat and fish Annual Inflation (%),Egg Annual Inflation (%),Milk and products Annual Inflation (%),Oils and fats Annual Inflation (%),Fruits Annual Inflation (%),Vegetables Annual Inflation (%),Pulses and products Annual Inflation (%),Sugar and Confectionery Annual Inflation (%),Spices Annual Inflation (%),Non-alcoholic beverages Annual Inflation (%),"Prepared meals, snacks, sweets etc. Annual Inflation (%)",Food and beverages Annual Inflation (%),"Pan, tobacco and intoxicants Annual Inflation (%)",Clothing Annual Inflation (%),Footwear Annual Inflation (%),Clothing and footwear Annual Inflation (%),Housing Annual Inflation (%),Fuel and light Annual Inflation (%),Household goods and services Annual Inflation (%),Health Annual Inflation (%),Transport and communication Annual Inflation (%),Recreation and amusement Annual Inflation (%),Education Annual Inflation (%),Personal care and effects Annual Inflation (%),Miscellaneous Annual Inflation (%)
2013-01-01,Rural,2013,January,107.5,106.3,108.1,104.9,106.1,103.9,101.9,106.1,106.8,103.1,104.8,106.7,105.5,105.1,106.5,105.8,106.4,,105.5,104.8,104.0,103.3,103.4,103.8,104.7,104.0,105.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-01,Rural,2013,February,109.2,108.7,110.2,105.4,106.7,104.0,102.4,105.9,105.7,103.1,105.1,107.7,106.3,105.6,107.1,106.3,107.0,,106.2,105.2,104.4,103.9,104.0,104.1,104.6,104.4,105.8,0.6660323501427312,,0.6660323501427312,1.5813953488372112,2.2577610536218318,1.942645698427392,0.4766444232602529,0.5655042412818112,0.09624639076033503,0.4906771344455274,-0.18850141376058893,-1.0299625468164764,0.0,0.2862595419847347,0.9372071227741419,0.7582938388625671,0.4757373929590969,0.5633802816901401,0.4725897920604849,0.5639097744360777,,0.6635071090047351,0.3816793893129722,0.38461538461538325,0.5808325266214887,0.5802707930367523,0.28901734104045396,-0.09551098376313627,0.38461538461538325,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-01,Rural,2013,March,110.2,108.8,109.9,105.6,106.2,105.7,101.4,105.7,105.0,103.3,105.6,108.2,106.6,106.5,107.6,106.8,107.5,,106.1,105.6,104.7,104.6,104.0,104.3,104.3,104.6,106.0,0.1890359168241984,,0.1890359168241984,0.9157509157509125,0.09199632014718073,-0.27223230490017736,0.1897533206830948,-0.46860356138707093,1.6346153846153788,-0.9765625,-0.18885741265345368,-0.6622516556291425,0.19398642095054264,0.4757373929590969,0.46425255338904403,0.2822201317027151,0.8522727272727293,0.46685340802987696,0.470366886171214,0.4672897196261738,,-0.09416195856875031,0.3802281368821214,0.2873563218390718,0.6737247353224118,0.0,0.19212295869357465,-0.2868068833651982,0.19157088122603305,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-01,Rural,2013,April,110.2,109.5,106.9,106.3,105.7,108.3,103.4,105.7,104.2,103.2,106.5,108.8,107.1,107.1,108.1,107.4,108.0,,106.5,106.1,105.1,104.4,104.5,104.8,102.7,104.6,106.4,0.3773584905660376,,0.37735849056603765,0.0,0.6433823529411686,-2.729754322111011,0.6628787878787845,-0.47080979284369606,2.4597918637653704,1.9723865877712132,0.0,-0.7619047619047636,-0.09680542110357404,0.8522727272727293,0.5545286506469349,0.46904315196998336,0.5633802816901401,0.4646840148698983,0.5617977528090012,0.46511627906977715,,0.3770028275212223,0.47348484848483974,0.3820439350525229,-0.19120458891012104,0.48076923076922906,0.4793863854266611,-1.5340364333652823,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-01,Rural,2013,May,110.9,109.8,105.9,107.5,105.3,108.1,107.3,106.1,103.7,104.0,107.4,109.9,108.1,108.1,108.8,107.9,108.6,,107.5,106.8,105.7,104.1,105.0,105.5,102.1,104.8,107.2,0.7518796992481258,,0.7518796992481258,0.6352087114337657,0.2739726027397138,-0.9354536950420989,1.1288805268109048,-0.37842951750236553,-0.1846722068328699,3.771760154738879,0.37842951750235443,-0.4798464491362786,0.7751937984496138,0.8450704225352101,1.011029411764719,0.9337068160597539,0.9337068160597539,0.647548566142464,0.4655493482309092,0.5555555555555536,,0.9389671361502261,0.6597549481621057,0.570884871550903,-0.287356321839094,0.4784688995215225,0.6679389312977069,-0.5842259006816009,0.19120458891013214,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-01,Rural,2013,June,112.3,112.1,108.1,108.3,105.9,109.2,118.0,106.8,104.1,105.4,108.2,111.0,110.6,109.0,109.7,108.8,109.5,,108.5,107.5,106.3,105.0,105.6,106.5,102.5,105.5,108.9,1.585820895522394,,1.585820895522394,1.2623985572587815,2.0947176684881663,2.077431539187913,0.7441860465116301,0.5698005698005826,1.0175763182238784,9.972041006523757,0.6597549481621057,0.38572806171648377,1.3461538461538414,0.7448789571694592,1.0009099181073733,2.3126734505087843,0.8325624421831712,0.8272058823529438,0.8341056533827551,0.8287292817679592,,0.9302325581395321,0.655430711610494,0.5676442762535316,0.8645533141210526,0.5714285714285561,0.9478672985782088,0.3917727717923647,0.6679389312977069,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-01,Rural,2013,July,113.4,114.9,110.5,109.3,106.2,110.3,129.2,107.1,104.3,106.4,109.1,112.1,113.1,109.8,110.5,109.5,110.3,,109.5,108.3,106.9,106.8,106.4,107.8,102.5,106.5,110.7,1.6528925619834656,,1.6528925619834656,0.9795191451469343,2.497769848349707,2.2201665124884418,0.9233610341643494,0.28328611898016387,1.0073260073260037,9.491525423728797,0.2808988764045006,0.19212295869357465,0.9487666034155628,0.8317929759704246,0.9909909909909809,2.2603978300180794,0.7339449541284404,0.7292616226071136,0.6433823529411686,0.7305936073059405,,0.9216589861751112,0.7441860465116301,0.5644402634054746,1.7142857142857126,0.7575757575757791,1.2206572769952961,0.0,0.9478672985782088,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-01,Rural,2013,August,114.3,115.4,111.1,110.0,106.4,110.8,138.9,107.4,104.1,106.9,109.7,112.6,114.9,110.7,111.3,110.2,111.1,,109.9,108.7,107.5,107.8,106.8,108.7,105.0,107.5,112.1,1.2646793134597931,,1.2646793134597933,0.7936507936507908,0.4351610095735481,0.5429864253393646,0.6404391582799596,0.18832391713747842,0.453309156844961,7.507739938080515,0.2801120448179484,-0.19175455417066445,0.46992481203007586,0.5499541704858002,0.4460303300624524,1.5915119363395291,0.819672131147553,0.7239819004524861,0.6392694063926951,0.7252946509519465,,0.36529680365298134,0.3693444136657398,0.5612722170252438,0.9363295880149725,0.3759398496240518,0.8348794063079756,2.4390243902439046,0.9389671361502261,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-01,Rural,2013,September,115.4,115.7,111.7,111.0,107.4,110.9,154.0,108.1,104.2,107.9,110.4,114.0,117.8,111.7,112.7,111.4,112.5,,111.1,109.6,108.3,109.3,107.7,109.8,106.7,108.7,114.2,1.873327386262269,,1.873327386262269,0.9623797025371861,0.25996533795493715,0.5400540054005587,0.9090909090909038,0.9398496240601517,0.09025270758122872,10.871130309575229,0.6517690875232685,0.09606147934679843,0.9354536950420878,0.6381039197812299,1.243339253996445,2.523933855526539,0.9033423667569984,1.2578616352201255,1.0889292196007316,1.2601260126012592,,1.091901728844391,0.8279668813247376,0.7441860465116301,1.3914656771799594,0.8426966292134797,1.0119595216191213,1.619047619047631,1.116279069767434,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-01,Rural,2013,October,116.3,115.4,112.6,111.7,107.7,113.2,164.9,108.3,103.9,108.2,111.1,114.9,119.8,112.2,113.6,112.3,113.4,,111.6,110.4,108.9,109.3,108.3,110.2,107.5,109.1,115.5,1.138353765323985,,1.138353765323985,0.7798960138648114,-0.2592912705272177,0.8057296329453845,0.6306306306306242,0.27932960893854997,2.073940486925152,7.077922077922083,0.18501387604070718,-0.2879078694817627,0.2780352177942591,0.6340579710144789,0.7894736842105399,1.6977928692699429,0.44762757385854446,0.7985803016858917,0.807899461400341,0.8000000000000007,,0.4500450045004545,0.7299270072992803,0.5540166204986319,0.0,0.557103064066844,0.36429872495447047,0.7497656982192957,0.36798528058876734,,,,,,,,,,,,,,,,,,,,,,,,,,,
