,Year,Cereals and products,Meat and fish,Egg,Milk and products,Oils and fats,Fruits,Vegetables,Pulses and products,Sugar and Confectionery,Spices,Non-alcoholic beverages,"Prepared meals, snacks, sweets etc.",Food and beverages,"Pan, tobacco and intoxicants",Clothing,Footwear,Clothing and footwear,Fuel and light,Household goods and services,Health,Transport and communication,Recreation and amusement,Education,Personal care and effects,Miscellaneous,Monthly Growth Rate (%),Annual Growth Rate (%)
Year,1.0,0.9384545650595127,0.974169744010785,0.9536444299643771,0.9777727855976529,0.8655094986136095,0.9108782020893188,0.5585558549355238,0.7375521090718764,0.7740399296037216,0.9218457469881387,0.9662855838093725,0.9866418929785323,0.962916026833207,0.9929831271272412,0.976933551701404,0.9720357616141038,0.9765952339877306,0.9778949235857439,0.9894569141841332,0.9909237789149276,0.9638887751643324,0.994494758199688,0.9911184524520615,0.9776588102876833,0.9892241838711335,-0.04543991092106081,
Cereals and products,0.9384545650595127,1.0,0.9188217371613392,0.9083106813751262,0.9786205429343608,0.7781683244373196,0.9117957181167163,0.5936037714574198,0.771064476855215,0.7799756843909227,0.9812230091084463,0.9363303479778688,0.9611533580135706,0.9665071793148706,0.9264656972343871,0.9729467209892239,0.9736702321018786,0.9733030684017796,0.9584477666391484,0.9633402222909225,0.9501512170504446,0.9340153689360438,0.9432204913629264,0.9364061700822667,0.960905974472564,0.9544022523736561,-0.02356780342102478,
Meat and fish,0.974169744010785,0.9188217371613392,1.0,0.9673460003884367,0.9573333840728578,0.9238959309533473,0.8793860261707391,0.5924881381375945,0.761869843561751,0.7347034756168593,0.930775472741567,0.9827884540972615,0.9595887950237869,0.9706532275407046,0.9792733552625991,0.9555454185186957,0.9600774838592212,0.9564313304529953,0.9579052666489867,0.9649790121499583,0.9852838834402244,0.987130828603622,0.9820336618477458,0.96425255396932,0.9852669103582805,0.9876338240624989,0.05133583734399276,
Egg,0.9536444299643771,0.9083106813751262,0.9673460003884367,1.0,0.9408758739773238,0.9068785360275774,0.8563257873656157,0.6022907477348268,0.7566687323885674,0.7481644967978863,0.9181929193944277,0.9693139012639089,0.9432501665698854,0.9576104978362164,0.9586518956473203,0.9405857069979273,0.942157031930009,0.9410885431622814,0.9429763444492884,0.9449082814573829,0.9633066454460245,0.9677547157156129,0.9588779794365913,0.9405614963811693,0.9665633534137713,0.966677422943783,-0.0522728093864313,
Milk and products,0.9777727855976529,0.9786205429343608,0.9573333840728578,0.9408758739773238,1.0,0.8348138346419504,0.9480954020200453,0.608146098904588,0.7985989081410052,0.7832691228943202,0.9595691498725684,0.9652110370751011,0.9932127073157545,0.9854088207924351,0.9738401064507113,0.9931620599253451,0.9882287901907528,0.9927806053836181,0.9810203707399792,0.9892119568780514,0.9783046283204997,0.9541454595506912,0.9785798643478677,0.9747189364346646,0.9745547247496104,0.9797520065121395,-0.033260613033647336,
Oils and fats,0.8655094986136095,0.7781683244373196,0.9238959309533473,0.9068785360275774,0.8348138346419504,1.0,0.7742619640642152,0.4252373871472033,0.6999284358733447,0.6453640647509742,0.8233246637572349,0.9368928427866987,0.8518845511087514,0.8654743755195373,0.8698341794018843,0.860762988414358,0.8782303050367335,0.863343424587882,0.877822937395457,0.8535566067914119,0.8864930592545623,0.9348023268266504,0.8789793484599665,0.8340580682079192,0.8920523800972165,0.8953220303995225,0.021213530506804436,
Fruits,0.9108782020893188,0.9117957181167163,0.8793860261707391,0.8563257873656157,0.9480954020200453,0.7742619640642152,1.0,0.5684579076661894,0.7516359556366726,0.7618925808785516,0.8825496423816188,0.8997603860744173,0.947041378278539,0.9260422449009954,0.9099439512370627,0.9476623386613046,0.9348199312339223,0.9460745808941718,0.931650157299924,0.9273484013396397,0.8991339428659262,0.8740554689769714,0.9078407655116266,0.9075335280991168,0.8905798946648201,0.9031006183219009,0.01686708842112426,
Vegetables,0.5585558549355238,0.5936037714574198,0.5924881381375945,0.6022907477348268,0.608146098904588,0.4252373871472033,0.5684579076661894,1.0,0.5050684060734117,0.47875435435819286,0.5847079240529204,0.5554939074491647,0.580763869025041,0.6913786777528931,0.5968172477330514,0.5698858143813379,0.5618237371421188,0.568942282087876,0.5570837809380789,0.5835300053640484,0.5891729690320797,0.5701189516225974,0.5933334518432523,0.6093875770672942,0.592783832627375,0.5911399303908418,0.21436983436719667,
Pulses and products,0.7375521090718764,0.771064476855215,0.761869843561751,0.7566687323885674,0.7985989081410052,0.6999284358733447,0.7516359556366726,0.5050684060734117,1.0,0.5761689996589457,0.8174097389101079,0.7898640424138879,0.7740403356911532,0.8172202531061942,0.7430105243458109,0.7801536193309643,0.7767038245086558,0.7798748822416536,0.7396046773340001,0.7496666440995278,0.7450412480824814,0.7350742335633204,0.7384649617266817,0.7224991295720922,0.7608851545525576,0.7479094643393763,-0.031237279998900556,
Sugar and Confectionery,0.7740399296037216,0.7799756843909227,0.7347034756168593,0.7481644967978863,0.7832691228943202,0.6453640647509742,0.7618925808785516,0.47875435435819286,0.5761689996589457,1.0,0.747283848840321,0.7504777461924194,0.7973435663488561,0.7757230592158203,0.7742716184504455,0.7985862705925533,0.7864114257680318,0.7971798704218779,0.786430098472468,0.7850245944155725,0.7622996198096482,0.7419794034945875,0.7748564046519518,0.7758746422531764,0.7761970158669038,0.7705165655635821,-0.008622692013634942,
