,Variance
Cereals and products,305.19444782349433
Meat and fish,1293.103754323196
Egg,601.786824090638
Milk and products,406.8053094812165
Oils and fats,755.6513798449612
Fruits,432.5986219439475
Vegetables,1345.0201454979128
Pulses and products,792.9003392963625
Sugar and Confectionery,114.80424627310674
Spices,917.0559713774597
Non-alcoholic beverages,331.37988372093025
"Prepared meals, snacks, sweets etc.",641.5398688133573
Food and beverages,524.5034132379249
"Pan, tobacco and intoxicants",965.7061091234347
Clothing,462.6749218843172
Footwear,312.0568998211091
Clothing and footwear,436.9280411449016
Housing,487.6821472868217
Fuel and light,596.0082939773405
Household goods and services,358.58804054859866
Health,583.8542254025045
Transport and communication,359.01252534287414
Recreation and amusement,406.8423548002385
Education,432.6374007155635
Personal care and effects,637.0792939773404
Miscellaneous,429.6482075134168
