Date,Sector,Year,Month,Cereals and products,Meat and fish,Egg,Milk and products,Oils and fats,Fruits,Vegetables,Pulses and products,Sugar and Confectionery,Spices,Non-alcoholic beverages,"Prepared meals, snacks, sweets etc.",Food and beverages,"Pan, tobacco and intoxicants",Clothing,Footwear,Clothing and footwear,Housing,Fuel and light,Household goods and services,Health,Transport and communication,Recreation and amusement,Education,Personal care and effects,Miscellaneous,General index,Monthly Growth Rate (%),Annual Growth Rate (%),Cereals and products Contribution (%),Meat and fish Contribution (%),Egg Contribution (%),Milk and products Contribution (%),Oils and fats Contribution (%),Fruits Contribution (%),Vegetables Contribution (%),Pulses and products Contribution (%),Sugar and Confectionery Contribution (%),Spices Contribution (%),Non-alcoholic beverages Contribution (%),"Prepared meals, snacks, sweets etc. Contribution (%)",Food and beverages Contribution (%),"Pan, tobacco and intoxicants Contribution (%)",Clothing Contribution (%),Footwear Contribution (%),Clothing and footwear Contribution (%),Housing Contribution (%),Fuel and light Contribution (%),Household goods and services Contribution (%),Health Contribution (%),Transport and communication Contribution (%),Recreation and amusement Contribution (%),Education Contribution (%),Personal care and effects Contribution (%),Miscellaneous Contribution (%)
2013-01-01,Urban,2013,January,110.5,109.1,113.0,103.6,103.4,102.3,102.9,105.8,105.1,101.8,105.1,107.9,105.9,105.2,105.9,105.0,105.8,100.3,105.4,104.8,104.1,103.2,102.9,103.5,104.3,103.7,104.0,,,106.25,104.90384615384616,108.65384615384615,99.6153846153846,99.42307692307692,98.36538461538461,98.9423076923077,101.73076923076923,101.0576923076923,97.88461538461539,101.0576923076923,103.75000000000001,101.8269230769231,101.15384615384615,101.8269230769231,100.96153846153845,101.73076923076923,96.4423076923077,101.34615384615384,100.76923076923077,100.09615384615384,99.23076923076923,98.9423076923077,99.51923076923077,100.28846153846153,99.71153846153847
2013-02-01,Urban,2013,February,112.9,112.9,116.9,104.0,103.5,103.1,104.9,104.1,103.8,102.3,106.0,109.0,107.2,106.0,106.6,105.5,106.4,100.4,105.7,105.2,104.7,104.4,103.3,103.7,104.3,104.3,104.7,0.6730769230769207,,107.83190066857688,107.83190066857688,111.6523400191022,99.33142311365806,98.8538681948424,98.47182425978987,100.19102196752627,99.4269340974212,99.1404011461318,97.70773638968481,101.24164278892071,104.10697230181472,102.38777459407832,101.24164278892071,101.8147086914995,100.76408787010507,101.62368672397326,95.89302769818529,100.95510983763131,100.47755491881567,100.0,99.7134670487106,98.66284622731614,99.04489016236867,99.61795606494746,99.61795606494746
2013-03-01,Urban,2013,March,113.9,111.4,113.2,104.3,102.7,104.9,103.8,103.5,102.6,102.4,107.0,109.8,107.3,106.8,107.2,106.0,107.0,100.4,106.0,105.7,105.2,105.5,103.5,103.8,104.2,104.9,105.0,0.2865329512893977,,108.47619047619048,106.0952380952381,107.80952380952382,99.33333333333333,97.80952380952381,99.90476190476191,98.85714285714286,98.57142857142858,97.71428571428571,97.52380952380952,101.9047619047619,104.57142857142856,102.19047619047619,101.71428571428571,102.0952380952381,100.95238095238095,101.9047619047619,95.61904761904762,100.95238095238095,100.66666666666666,100.19047619047619,100.47619047619048,98.57142857142858,98.85714285714286,99.23809523809524,99.90476190476191
2013-04-01,Urban,2013,April,114.6,113.4,106.0,104.7,102.1,109.5,109.7,104.6,102.0,103.5,108.2,110.6,108.8,108.5,107.9,106.4,107.7,100.5,106.4,106.5,105.7,105.0,104.0,105.2,103.2,105.1,105.7,0.6666666666666599,,108.42005676442761,107.28476821192052,100.28382213812677,99.05392620624409,96.59413434247871,103.59508041627245,103.78429517502366,98.9593188268685,96.49952696310312,97.91863765373698,102.36518448438979,104.63576158940397,102.93282876064333,102.64900662251655,102.08136234626302,100.66225165562915,101.89214758751181,95.08041627246925,100.66225165562915,100.75685903500474,100.0,99.33774834437085,98.39167455061495,99.52696310312204,97.63481551561021,99.43235572374644
2013-05-01,Urban,2013,May,115.4,114.2,102.7,105.5,101.5,110.6,123.7,105.2,101.9,105.0,109.1,111.3,111.1,109.8,108.5,106.7,108.3,100.5,107.2,107.1,106.2,103.9,104.6,105.7,102.6,104.9,106.6,0.8514664143803197,,108.25515947467169,107.12945590994372,96.34146341463415,98.96810506566605,95.2157598499062,103.75234521575985,116.04127579737337,98.68667917448406,95.59099437148218,98.49906191369607,102.34521575984992,104.40900562851783,104.22138836772983,103.00187617260788,101.78236397748593,100.09380863039401,101.59474671669795,94.27767354596624,100.56285178236399,100.46904315196998,99.62476547842402,97.4671669793621,98.12382739212008,99.15572232645404,96.24765478424015,98.40525328330207
2013-06-01,Urban,2013,June,117.0,120.1,112.5,107.3,101.3,112.4,143.6,105.4,101.4,106.4,110.0,112.2,115.0,110.9,109.2,107.2,108.9,106.6,108.0,107.7,106.5,105.2,105.2,108.1,103.3,106.1,109.7,2.908067542213888,,106.65451230628989,109.48040109389243,102.55241567912488,97.81221513217866,92.34275296262534,102.461257976299,130.90246125797628,96.08021877848678,92.43391066545124,96.99179580674567,100.27347310847767,102.27894257064722,104.8313582497721,101.09389243391067,99.54421148587056,97.72105742935278,99.2707383773929,97.17411121239743,98.4503190519599,98.17684594348222,97.08295350957155,95.897903372835,95.897903372835,98.54147675478578,94.16590701914312,96.718322698268
2013-07-01,Urban,2013,July,117.8,119.2,114.0,108.3,101.1,113.2,160.9,105.1,101.3,107.5,110.4,113.1,117.5,111.7,109.8,107.8,109.5,107.7,108.6,108.1,107.1,107.3,105.9,110.1,103.2,107.3,111.4,1.5496809480401108,,105.74506283662477,107.00179533213645,102.33393177737882,97.21723518850986,90.75403949730699,101.61579892280072,144.43447037701975,94.34470377019748,90.93357271095151,96.49910233393177,99.10233393177738,101.52603231597845,105.47576301615797,100.26929982046677,98.5637342908438,96.76840215439856,98.29443447037701,96.67863554757629,97.48653500897665,97.03770197486534,96.14003590664272,96.31956912028724,95.06283662477558,98.83303411131058,92.63913824057451,96.31956912028724
2013-08-01,Urban,2013,August,118.3,120.4,112.7,108.9,101.1,108.7,177.0,104.7,101.0,108.5,110.9,114.3,119.6,112.4,110.6,108.3,110.2,108.9,109.3,108.7,107.6,108.1,106.5,110.8,106.0,108.3,112.7,1.1669658886894083,,104.96894409937887,106.83229813664596,100.0,96.6282165039929,89.70718722271516,96.45075421472937,157.05412599822537,92.90150842945874,89.61845607808341,96.27329192546583,98.40283939662822,101.41969831410825,106.12244897959182,99.7338065661047,98.13664596273291,96.0958296362023,97.78172138420585,96.6282165039929,96.98314108251996,96.45075421472937,95.47471162377994,95.91836734693877,94.49866903283052,98.31410825199644,94.0550133096717,96.0958296362023
2013-09-01,Urban,2013,September,118.6,119.1,113.2,109.6,101.7,103.2,174.3,105.1,100.8,109.1,111.1,115.4,119.2,112.9,111.4,109.0,111.1,109.7,109.5,109.6,107.9,110.4,107.4,111.2,106.9,109.4,113.2,0.4436557231588312,,104.7703180212014,105.2120141342756,100.0,96.81978798586572,89.84098939929329,91.16607773851591,153.97526501766785,92.84452296819788,89.04593639575971,96.37809187279152,98.14487632508833,101.94346289752649,105.30035335689045,99.73498233215548,98.40989399293287,96.28975265017668,98.14487632508833,96.90812720848056,96.73144876325088,96.81978798586572,95.31802120141343,97.52650176678446,94.87632508833923,98.23321554770318,94.43462897526503,96.64310954063605
2013-10-01,Urban,2013,October,118.9,118.1,114.5,110.4,102.3,106.2,183.5,105.3,100.2,109.6,111.4,116.0,120.8,113.5,112.5,109.7,112.0,110.5,109.7,110.2,108.2,109.7,108.0,111.3,107.3,109.4,114.0,0.7067137809187329,,104.2982456140351,103.59649122807018,100.43859649122805,96.84210526315789,89.73684210526316,93.15789473684211,160.96491228070175,92.36842105263158,87.89473684210527,96.14035087719299,97.71929824561404,101.75438596491229,105.96491228070175,99.56140350877193,98.68421052631578,96.2280701754386,98.24561403508771,96.9298245614035,96.2280701754386,96.66666666666667,94.9122807017544,96.2280701754386,94.73684210526315,97.63157894736841,94.12280701754385,95.96491228070177
