,Year,Cereals and products,Meat and fish,Egg,Milk and products,Oils and fats,Fruits,Vegetables,Pulses and products,Sugar and Confectionery,Spices,Non-alcoholic beverages,"Prepared meals, snacks, sweets etc.",Food and beverages,"Pan, tobacco and intoxicants",Clothing,Footwear,Clothing and footwear,Fuel and light,Household goods and services,Health,Transport and communication,Recreation and amusement,Education,Personal care and effects,Miscellaneous,Monthly Growth Rate (%),Annual Growth Rate (%)
Year,1.0,0.9524323584013402,0.9593113000139262,0.9422571521012344,0.9802603496596417,0.893924743784241,0.9462013311221278,0.6723318016119338,0.5952947058822337,0.7959391022873612,0.9084604715924945,0.9556880544479378,0.9852888780442833,0.9576985758707354,0.9907072091702066,0.9811613757351955,0.9534044576175744,0.97851779335105,0.9327482209557051,0.9810895927383196,0.9781736827998936,0.9254184697416937,0.976840035168246,0.988519763422582,0.9703489714202469,0.9748039575880754,-0.005761821900623414,
Cereals and products,0.9524323584013402,1.0,0.9431601541712313,0.926509167935978,0.9768456596892012,0.8580758886083573,0.9305618801757075,0.7231748443134789,0.6079132932878653,0.7774337034245269,0.9659830063309557,0.957259583736835,0.9781996409452056,0.9701996708602797,0.9378144348512814,0.9821117641958907,0.9846506030855309,0.9832590788906497,0.952502306082688,0.9793441445002685,0.977215784289029,0.941421722688677,0.9743132887927681,0.9656329951470887,0.9806656448985138,0.9761827216113947,0.0005259264471741636,
Meat and fish,0.9593113000139262,0.9431601541712313,1.0,0.9586979067978895,0.9540872008481032,0.9512927234010022,0.9360023356125097,0.7373286235370669,0.6525885826394203,0.750634798027338,0.9137157033909618,0.9789498955531675,0.9658631308804067,0.975938888394355,0.9653873159064463,0.9645939483351931,0.9489557490182304,0.9635325113408134,0.95646717929137,0.9693151192877898,0.9785085424398254,0.9720460114094038,0.9808076730315745,0.950986616856411,0.983904684592318,0.9824459635143334,0.06626408574688904,
Egg,0.9422571521012344,0.926509167935978,0.9586979067978895,1.0,0.9324164335138234,0.9136324633809768,0.8826783984861124,0.7272612160152168,0.62263321056131,0.7639684126259835,0.8921527261853556,0.9549373901074366,0.9461315044445884,0.9502024862913131,0.9487158121263768,0.9446688938498218,0.9227654829930096,0.9427162654503299,0.9273622117097587,0.9479614022160306,0.9589857150962864,0.9411062394640407,0.9541925598418993,0.9353771852028488,0.9612937035460859,0.9588134986650848,-0.05320765347842284,
Milk and products,0.9802603496596417,0.9768456596892012,0.9540872008481032,0.9324164335138234,1.0,0.8788473254377975,0.9571942326107717,0.7085748512720642,0.658926034987973,0.7800182784076769,0.958677584039928,0.9663118287314352,0.9951930004695718,0.9780343529494876,0.976015102866195,0.9911812295418114,0.9788812502633905,0.9904848520109388,0.9454247487328271,0.9893974155477931,0.978556345768464,0.9317098680966516,0.9821577597570637,0.9898766162727393,0.9738889852692418,0.9788763777594308,-0.02535081085020353,
Oils and fats,0.893924743784241,0.8580758886083573,0.9512927234010022,0.9136324633809768,0.8788473254377975,1.0,0.8637885530996338,0.642596415762098,0.5970293772775773,0.690985968754481,0.8365552817461145,0.9555371818928935,0.910244015508584,0.9102418532982488,0.897762186395785,0.9130542538834711,0.903496832351288,0.9127563971889608,0.9525544756277089,0.9214917227932331,0.9324698217839771,0.9690008863119198,0.9413243809770016,0.8735727943248893,0.9239129169819948,0.9410731710249487,0.027135039922278646,
Fruits,0.9462013311221278,0.9305618801757075,0.9360023356125097,0.8826783984861124,0.9571942326107717,0.8637885530996338,1.0,0.703615012396002,0.5962894808439457,0.7512487088856027,0.9069786700746605,0.9348086928759539,0.9556113320701798,0.9495809194866939,0.9455084250410162,0.9519598273791429,0.9343462946561262,0.9506025148673528,0.9109500472711108,0.9515095929629328,0.9457532423923845,0.9111528668391825,0.9480403942306093,0.9550433650735857,0.9378588536141163,0.9477687342978901,0.1039724942055962,
Vegetables,0.6723318016119338,0.7231748443134789,0.7373286235370669,0.7272612160152168,0.7085748512720642,0.642596415762098,0.703615012396002,1.0,0.5234967346524102,0.5570031552271254,0.701766115137481,0.7137760668626167,0.7098297234553883,0.8123293420451153,0.7011043209291344,0.7124051565672553,0.7034412771917905,0.7118450942669864,0.6880795039434221,0.7178346238970592,0.7245632547110638,0.7114639162063141,0.7222730084494541,0.726495426123739,0.7385504002328153,0.7302622216060788,0.17804949786081728,
Pulses and products,0.5952947058822337,0.6079132932878653,0.6525885826394203,0.62263321056131,0.658926034987973,0.5970293772775773,0.5962894808439457,0.5234967346524102,1.0,0.3968693729916809,0.7549374060155281,0.6710915495635863,0.6481114874810426,0.6921653583114564,0.616627845836827,0.6330578012439771,0.649210530564555,0.6360341318929317,0.6036462130048013,0.6352544894660312,0.6232633199459143,0.6036466565409205,0.6411458896163187,0.6207534839819976,0.6338045488572399,0.6280082521989112,-0.06685582981200681,
Sugar and Confectionery,0.7959391022873612,0.7774337034245269,0.750634798027338,0.7639684126259835,0.7800182784076769,0.690985968754481,0.7512487088856027,0.5570031552271254,0.3968693729916809,1.0,0.7333925125025545,0.748837108551366,0.7865612741972813,0.7662172672931477,0.7895083492459435,0.7750110949586327,0.7531658015996383,0.7728296263269779,0.7206780781848928,0.7737981374583316,0.7665373494188569,0.7227555819833282,0.7633323907426773,0.7870527099323061,0.7742481604348886,0.7678558665373368,0.00687732474936862,
