,Variance
Cereals and products,295.8952652616279
Meat and fish,1200.6289110949613
Egg,558.4516678779071
Milk and products,391.52300629844956
Oils and fats,898.8505390019382
Fruits,336.30947068798446
Vegetables,790.5620687984494
Pulses and products,631.9559629360465
Sugar and Confectionery,82.6472359496124
Spices,1094.5743422965115
Non-alcoholic beverages,432.0192260174419
"Prepared meals, snacks, sweets etc.",594.2031298449613
Food and beverages,460.88793725775196
"Pan, tobacco and intoxicants",914.6453718507753
Clothing,513.979339874031
Footwear,434.1605281007752
Clothing and footwear,501.63891109496126
Housing,485.4176937984496
Fuel and light,538.3683248546511
Household goods and services,413.68390625
Health,639.2081007751938
Transport and communication,404.7585549903101
Recreation and amusement,439.0251174903101
Education,483.9618350290698
Personal care and effects,625.2783624031008
Miscellaneous,485.975152616279
