Date,Sector,Year,Month,Cereals and products,Meat and fish,Egg,Milk and products,Oils and fats,Fruits,Vegetables,Pulses and products,Sugar and Confectionery,Spices,Non-alcoholic beverages,"Prepared meals, snacks, sweets etc.",Food and beverages,"Pan, tobacco and intoxicants",Clothing,Footwear,Clothing and footwear,Housing,Fuel and light,Household goods and services,Health,Transport and communication,Recreation and amusement,Education,Personal care and effects,Miscellaneous,General index,Monthly Growth Rate (%),Annual Growth Rate (%),Cereals and products Contribution (%),Meat and fish Contribution (%),Egg Contribution (%),Milk and products Contribution (%),Oils and fats Contribution (%),Fruits Contribution (%),Vegetables Contribution (%),Pulses and products Contribution (%),Sugar and Confectionery Contribution (%),Spices Contribution (%),Non-alcoholic beverages Contribution (%),"Prepared meals, snacks, sweets etc. Contribution (%)",Food and beverages Contribution (%),"Pan, tobacco and intoxicants Contribution (%)",Clothing Contribution (%),Footwear Contribution (%),Clothing and footwear Contribution (%),Housing Contribution (%),Fuel and light Contribution (%),Household goods and services Contribution (%),Health Contribution (%),Transport and communication Contribution (%),Recreation and amusement Contribution (%),Education Contribution (%),Personal care and effects Contribution (%),Miscellaneous Contribution (%)
2013-01-01,Rural+Urban,2013,January,108.4,107.3,110.0,104.4,105.1,103.2,102.2,106.0,106.2,102.7,104.9,107.3,105.6,105.1,106.3,105.5,106.2,100.3,105.5,104.8,104.0,103.2,103.1,103.6,104.5,103.9,104.6,,,103.63288718929256,102.5812619502868,105.16252390057362,99.80879541108987,100.47801147227533,98.66156787762907,97.7055449330784,101.33843212237095,101.52963671128109,98.18355640535373,100.28680688336522,102.5812619502868,100.95602294455065,100.47801147227533,101.62523900573615,100.86042065009562,101.52963671128109,95.88910133843213,100.86042065009562,100.19120458891013,99.4263862332696,98.66156787762907,98.56596558317399,99.04397705544933,99.90439770554494,99.33078393881453
2013-02-01,Rural+Urban,2013,February,110.4,110.2,112.8,104.9,105.5,103.6,103.2,105.3,105.1,102.8,105.5,108.3,106.6,105.7,106.9,106.0,106.8,100.4,106.0,105.2,104.5,104.2,103.6,103.9,104.5,104.4,105.3,0.6692160611854625,,104.84330484330484,104.653371320038,107.12250712250713,99.6201329534663,100.18993352326686,98.38556505223171,98.00569800569802,100.0,99.81006647673314,97.62583095916429,100.18993352326686,102.84900284900284,101.23456790123457,100.37986704653372,101.51946818613486,100.66476733143399,101.42450142450143,95.34662867996202,100.66476733143399,99.90503323836658,99.24026590693258,98.9553656220323,98.38556505223171,98.670465337132,99.24026590693258,99.14529914529915
2013-03-01,Rural+Urban,2013,March,111.4,109.7,111.2,105.1,104.9,105.3,102.2,105.0,104.2,103.0,106.2,108.9,106.9,106.6,107.4,106.5,107.3,100.4,106.1,105.6,104.9,105.1,103.7,104.0,104.3,104.7,105.5,0.1899335232668608,,105.59241706161137,103.98104265402843,105.40284360189574,99.62085308056872,99.43127962085309,99.81042654028435,96.87203791469194,99.52606635071089,98.76777251184834,97.6303317535545,100.66350710900474,103.22274881516589,101.3270142180095,101.04265402843602,101.80094786729859,100.9478672985782,101.70616113744076,95.16587677725119,100.5687203791469,100.09478672985782,99.43127962085309,99.62085308056872,98.29383886255924,98.5781990521327,98.86255924170617,99.24170616113744
2013-04-01,Rural+Urban,2013,April,111.6,110.9,106.6,105.7,104.4,108.9,105.5,105.3,103.5,103.3,107.2,109.6,107.7,107.5,108.0,107.0,107.9,100.5,106.5,106.3,105.3,104.7,104.2,105.0,102.9,104.8,106.1,0.5687203791469031,,105.18378887841659,104.52403393025449,100.47125353440151,99.6229971724788,98.39773798303489,102.63901979264844,99.4344957587182,99.2459943449576,97.54948162111216,97.36098020735156,101.03675777568333,103.29877474081056,101.50801131008484,101.31950989632423,101.79076343072573,100.84825636192272,101.69651272384543,94.7219604147031,100.37700282752122,100.1885014137606,99.2459943449576,98.6804901036758,98.20923656927428,98.96324222431669,96.98397737983035,98.77474081055608
2013-05-01,Rural+Urban,2013,May,112.3,111.3,104.7,106.8,103.9,109.3,112.9,105.8,103.1,104.3,108.1,110.5,109.2,108.6,108.7,107.4,108.5,100.5,107.4,106.9,105.9,104.0,104.8,105.6,102.3,104.8,106.9,0.7540056550424223,,105.0514499532273,104.11599625818522,97.94200187090739,99.90645463049577,97.19363891487372,102.24508886810102,105.61272217025257,98.97100093545369,96.44527595884003,97.56782039289055,101.12254443405051,103.36763330215153,102.15154349859681,101.59027128157155,101.68381665107577,100.46772684752105,101.49672591206735,94.01309635173058,100.46772684752105,100.0,99.0645463049579,97.28718428437791,98.03554724041159,98.78391019644526,95.69691300280635,98.03554724041159
2013-06-01,Rural+Urban,2013,June,113.8,114.9,109.8,107.9,104.2,110.7,126.7,106.3,103.2,105.7,109.0,111.6,112.2,109.5,109.5,108.1,109.3,106.6,108.3,107.6,106.4,105.1,105.4,107.4,102.8,105.8,109.3,2.2450888681010195,,104.1171088746569,105.12351326623973,100.45745654162855,98.71912168344008,95.33394327538885,101.28087831655994,115.9194876486734,97.25526075022873,94.41903019213174,96.70631290027448,99.72552607502287,102.1043000914913,102.65324794144557,100.18298261665142,100.18298261665142,98.90210430009148,100.0,97.52973467520584,99.08508691674291,98.44464775846295,97.34675205855444,96.15736505032022,96.43183897529735,98.26166514181153,94.05306495882891,96.79780420860018
2013-07-01,Rural+Urban,2013,July,114.8,116.4,111.9,108.9,104.3,111.7,140.0,106.4,103.3,106.8,109.6,112.6,114.7,110.3,110.2,108.8,110.0,107.7,109.2,108.2,107.0,107.1,106.1,109.1,102.8,106.9,111.0,1.5553522415370669,,103.42342342342342,104.86486486486486,100.81081081081082,98.10810810810811,93.96396396396396,100.63063063063062,126.12612612612612,95.85585585585586,93.06306306306305,96.21621621621621,98.73873873873873,101.44144144144143,103.33333333333334,99.36936936936937,99.27927927927928,98.01801801801801,99.09909909909909,97.02702702702702,98.37837837837839,97.47747747747748,96.3963963963964,96.48648648648648,95.58558558558558,98.28828828828829,92.61261261261261,96.30630630630631
2013-08-01,Rural+Urban,2013,August,115.6,117.2,111.7,109.6,104.5,109.8,151.8,106.5,103.1,107.4,110.2,113.4,116.6,111.2,111.0,109.4,110.7,108.9,109.7,108.7,107.5,108.0,106.6,109.9,105.4,107.9,112.4,1.2612612612612706,,102.84697508896797,104.27046263345194,99.37722419928825,97.50889679715301,92.97153024911032,97.68683274021352,135.05338078291814,94.7508896797153,91.72597864768683,95.55160142348754,98.04270462633453,100.88967971530249,103.73665480427046,98.932384341637,98.75444839857651,97.33096085409252,98.48754448398577,96.88612099644128,97.59786476868328,96.70818505338077,95.64056939501779,96.08540925266902,94.83985765124554,97.77580071174377,93.77224199288257,95.99644128113879
2013-09-01,Rural+Urban,2013,September,116.4,116.9,112.3,110.5,105.3,107.3,160.9,107.1,103.1,108.3,110.7,114.6,118.3,112.0,112.2,110.4,111.9,109.7,110.5,109.6,108.1,109.9,107.5,110.6,106.8,109.0,113.7,1.1565836298932377,,102.37467018469657,102.81442392260334,98.76868953386104,97.18557607739665,92.61213720316623,94.37115215479331,141.5127528583993,94.1952506596306,90.67722075637641,95.25065963060686,97.36147757255937,100.7915567282322,104.04573438874229,98.50483729111697,98.68073878627969,97.0976253298153,98.41688654353563,96.48197009674581,97.18557607739665,96.39401934916447,95.07475813544414,96.65787159190853,94.54705364995603,97.273526824978,93.93139841688654,95.86631486367634
2013-10-01,Rural+Urban,2013,October,117.1,116.3,113.3,111.2,105.7,109.9,171.2,107.3,102.7,108.7,111.2,115.4,120.2,112.5,113.2,111.2,112.8,110.5,110.9,110.3,108.6,109.5,108.1,110.8,107.4,109.2,114.8,0.9674582233949014,,102.00348432055748,101.30662020905923,98.69337979094077,96.86411149825784,92.07317073170732,95.73170731707317,149.12891986062718,93.46689895470384,89.45993031358886,94.68641114982579,96.86411149825784,100.5226480836237,104.70383275261324,97.99651567944251,98.60627177700349,96.86411149825784,98.25783972125436,96.25435540069687,96.60278745644601,96.0801393728223,94.5993031358885,95.38327526132404,94.1637630662021,96.51567944250871,93.55400696864112,95.1219512195122
