,Year,Cereals and products,Meat and fish,Egg,Milk and products,Oils and fats,Fruits,Vegetables,Pulses and products,Sugar and Confectionery,Spices,Non-alcoholic beverages,"Prepared meals, snacks, sweets etc.",Food and beverages,"Pan, tobacco and intoxicants",Clothing,Footwear,Clothing and footwear,Fuel and light,Household goods and services,Health,Transport and communication,Recreation and amusement,Education,Personal care and effects,Miscellaneous,Monthly Growth Rate (%),Annual Growth Rate (%)
Year,1.0,0.9448918595547727,0.9695110807874717,0.951416895762511,0.9790828948925691,0.8747133705992596,0.9397976942681936,0.6001783194884612,0.691488934861077,0.7854952366477891,0.9185728398249974,0.9627618696194407,0.9878842948508275,0.9611081697296103,0.9925042061813888,0.9803515898876729,0.9672382075029052,0.9789953124041533,0.9680545926123134,0.9879523789347457,0.9874366508590567,0.9464077562560679,0.9883113890718246,0.9909704285177946,0.9744812192078879,0.9834621855133697,-0.030784402951475432,
Cereals and products,0.9448918595547727,1.0,0.9288365970780916,0.9175107525334287,0.9793856505662982,0.8062953237394451,0.9270346350604052,0.6421391175559307,0.7212254618670058,0.7820590934289574,0.9824242973212987,0.9457281860096497,0.9706679480442523,0.9684670470040938,0.932852151185566,0.9768256233432799,0.9801863550936659,0.9775881096159069,0.961059156615851,0.9720339134731139,0.9623032859660969,0.935694205946438,0.9613287647498729,0.9551333310413498,0.9685592285819631,0.9643963635219288,-0.02173883376503823,
Meat and fish,0.9695110807874717,0.9288365970780916,1.0,0.9663883605856631,0.9571634718157181,0.9345619623664083,0.9197399107062342,0.650693482658957,0.727511059109397,0.7461973633019031,0.9276066347452554,0.981829162627211,0.9654416792303586,0.973815298693179,0.9750540693950648,0.9607269452737042,0.9573891297992877,0.9606537923124343,0.9627393184284062,0.9690104444903105,0.983724322135312,0.9807480890819438,0.9852146501053652,0.9619823697561269,0.9853782890851738,0.9866727888802789,0.053569633824679073,
Egg,0.951416895762511,0.9175107525334287,0.9663883605856631,1.0,0.9402426574286177,0.909056361264666,0.8814099857933735,0.6568642002286844,0.714386481267202,0.759580036667887,0.9139954195671798,0.9662162420211485,0.9496493161036391,0.9577318508765401,0.9577660304593361,0.9449794084690496,0.9380998361413226,0.944385601409355,0.9463084758754872,0.9517506319160204,0.96549761395359,0.9597829688141795,0.9638673727531868,0.9441242383367568,0.9667851449765322,0.9674493728636208,-0.059110448845149016,
Milk and products,0.9790828948925691,0.9793856505662982,0.9571634718157181,0.9402426574286177,1.0,0.8504223016386797,0.961639635411648,0.6435965205012129,0.7529992845657983,0.7844316770423281,0.9611458811846951,0.9662841209582393,0.9953172441968118,0.9824216173259379,0.9750922223719064,0.993433595751269,0.9864097226753277,0.9928590210919698,0.9734180294951387,0.9907902990250214,0.9797067464908447,0.9436159074916176,0.9827588719564008,0.9845357261559331,0.9740113481009437,0.9797937220985043,-0.03461529859902877,
Oils and fats,0.8747133705992596,0.8062953237394451,0.9345619623664083,0.909056361264666,0.8504223016386797,1.0,0.8231129493369728,0.5145471164887765,0.669840923282012,0.6672671035312623,0.830036043649331,0.9436823963368205,0.8773024147042894,0.8828828085138573,0.8797065940681162,0.8802488213373729,0.8873617447601471,0.8816052535047091,0.9142524954067605,0.8828640109915601,0.9036931082102454,0.9519602652644096,0.9108924171869335,0.84995094853345,0.9032027682216417,0.9145001760074488,0.020375124558471253,
Fruits,0.9397976942681936,0.9270346350604052,0.9197399107062342,0.8814099857933735,0.961639635411648,0.8231129493369728,1.0,0.6149086162509712,0.7018123548986008,0.7633617529781462,0.9110923673729202,0.9289272094292266,0.9587285740293967,0.9440942658215673,0.9392258614345608,0.9564493056516261,0.9457744720246052,0.9553800530953661,0.9361563291054728,0.949425598552668,0.9347134542404022,0.9040912928940676,0.9410275712316062,0.9465828797350213,0.9242710011217118,0.9368666377243177,0.060038542966803235,
Vegetables,0.6001783194884612,0.6421391175559307,0.650693482658957,0.6568642002286844,0.6435965205012129,0.5145471164887765,0.6149086162509712,1.0,0.515622185184586,0.5070114192787837,0.6389501114149091,0.6191746695451777,0.6268873736575293,0.738294172969961,0.6356073052440201,0.6212710524750695,0.6150458075235679,0.6203332843888096,0.6029706071961464,0.632629952194253,0.6413342845264596,0.6262294641370698,0.6402793385359523,0.6566495925860574,0.6534209275442784,0.6457717571306066,0.19826635692664227,
Pulses and products,0.691488934861077,0.7212254618670058,0.727511059109397,0.714386481267202,0.7529992845657983,0.669840923282012,0.7018123548986008,0.515622185184586,1.0,0.5127617491832293,0.7981004676701905,0.7516644423277001,0.7331772433371092,0.7755701128126338,0.6999709325207869,0.730185811000279,0.7335304509981813,0.7309295762560516,0.6944182930215795,0.7134924895098101,0.7062572704805463,0.6928321056347491,0.7126284979830224,0.6957607617173865,0.7192325159858908,0.7102339463186965,-0.04912174314569834,
Sugar and Confectionery,0.7854952366477891,0.7820590934289574,0.7461973633019031,0.759580036667887,0.7844316770423281,0.6672671035312623,0.7633617529781462,0.5070114192787837,0.5127617491832293,1.0,0.7458969093835824,0.7559040663555097,0.7953924093021769,0.7744543271887847,0.7841606424654279,0.7931206318448151,0.7794674674501881,0.7917515440627424,0.7712226323363378,0.7853702828304173,0.7703725564945526,0.740330800144064,0.7744459094620056,0.7836257334656266,0.778330756413854,0.7744287979705627,-0.009002874555599906,
