Date,Sector,Year,Month,Cereals and products,Meat and fish,Egg,Milk and products,Oils and fats,Fruits,Vegetables,Pulses and products,Sugar and Confectionery,Spices,Non-alcoholic beverages,"Prepared meals, snacks, sweets etc.",Food and beverages,"Pan, tobacco and intoxicants",Clothing,Footwear,Clothing and footwear,Housing,Fuel and light,Household goods and services,Health,Transport and communication,Recreation and amusement,Education,Personal care and effects,Miscellaneous,General index,Monthly Growth Rate (%),Annual Growth Rate (%),Cereals and products Contribution (%),Meat and fish Contribution (%),Egg Contribution (%),Milk and products Contribution (%),Oils and fats Contribution (%),Fruits Contribution (%),Vegetables Contribution (%),Pulses and products Contribution (%),Sugar and Confectionery Contribution (%),Spices Contribution (%),Non-alcoholic beverages Contribution (%),"Prepared meals, snacks, sweets etc. Contribution (%)",Food and beverages Contribution (%),"Pan, tobacco and intoxicants Contribution (%)",Clothing Contribution (%),Footwear Contribution (%),Clothing and footwear Contribution (%),Housing Contribution (%),Fuel and light Contribution (%),Household goods and services Contribution (%),Health Contribution (%),Transport and communication Contribution (%),Recreation and amusement Contribution (%),Education Contribution (%),Personal care and effects Contribution (%),Miscellaneous Contribution (%)
2013-01-01,Rural,2013,January,107.5,106.3,108.1,104.9,106.1,103.9,101.9,106.1,106.8,103.1,104.8,106.7,105.5,105.1,106.5,105.8,106.4,,105.5,104.8,104.0,103.3,103.4,103.8,104.7,104.0,105.1,,,102.28353948620361,101.1417697431018,102.85442435775451,99.80970504281638,100.95147478591817,98.85823025689821,96.95528068506187,100.95147478591817,101.61750713606091,98.09705042816366,99.71455756422455,101.52235965746908,100.38058991436726,100.0,101.33206470028544,100.66603235014273,101.23691722169363,,100.38058991436726,99.71455756422455,98.95337773549001,98.2873453853473,98.38249286393912,98.76308277830638,99.61941008563274,98.95337773549001
2013-02-01,Rural,2013,February,109.2,108.7,110.2,105.4,106.7,104.0,102.4,105.9,105.7,103.1,105.1,107.7,106.3,105.6,107.1,106.3,107.0,,106.2,105.2,104.4,103.9,104.0,104.1,104.6,104.4,105.8,0.6660323501427312,,103.21361058601136,102.74102079395087,104.15879017013232,99.62192816635161,100.85066162570888,98.29867674858224,96.78638941398866,100.09451795841211,99.90548204158792,97.44801512287334,99.3383742911153,101.79584120982987,100.47258979206049,99.8109640831758,101.22873345935727,100.47258979206049,101.13421550094519,,100.37807183364839,99.43289224952741,98.67674858223063,98.20415879017014,98.29867674858224,98.39319470699432,98.86578449905483,98.67674858223063
2013-03-01,Rural,2013,March,110.2,108.8,109.9,105.6,106.2,105.7,101.4,105.7,105.0,103.3,105.6,108.2,106.6,106.5,107.6,106.8,107.5,,106.1,105.6,104.7,104.6,104.0,104.3,104.3,104.6,106.0,0.1890359168241984,,103.96226415094341,102.64150943396227,103.67924528301889,99.62264150943396,100.18867924528303,99.71698113207547,95.66037735849056,99.71698113207547,99.05660377358491,97.45283018867924,99.62264150943396,102.07547169811322,100.56603773584905,100.47169811320755,101.50943396226415,100.75471698113208,101.41509433962264,,100.09433962264151,99.62264150943396,98.77358490566039,98.67924528301886,98.11320754716981,98.39622641509433,98.39622641509433,98.67924528301886
2013-04-01,Rural,2013,April,110.2,109.5,106.9,106.3,105.7,108.3,103.4,105.7,104.2,103.2,106.5,108.8,107.1,107.1,108.1,107.4,108.0,,106.5,106.1,105.1,104.4,104.5,104.8,102.7,104.6,106.4,0.3773584905660376,,103.57142857142856,102.91353383458646,100.46992481203007,99.90601503759397,99.34210526315789,101.78571428571428,97.18045112781954,99.34210526315789,97.93233082706767,96.99248120300751,100.093984962406,102.25563909774435,100.6578947368421,100.6578947368421,101.59774436090225,100.93984962406014,101.50375939849623,,100.093984962406,99.71804511278194,98.77819548872179,98.1203007518797,98.21428571428571,98.49624060150374,96.52255639097744,98.30827067669172
2013-05-01,Rural,2013,May,110.9,109.8,105.9,107.5,105.3,108.1,107.3,106.1,103.7,104.0,107.4,109.9,108.1,108.1,108.8,107.9,108.6,,107.5,106.8,105.7,104.1,105.0,105.5,102.1,104.8,107.2,0.7518796992481258,,103.45149253731343,102.42537313432835,98.78731343283582,100.27985074626866,98.2276119402985,100.83955223880596,100.09328358208955,98.97388059701491,96.73507462686567,97.01492537313433,100.18656716417911,102.51865671641791,100.83955223880596,100.83955223880596,101.49253731343283,100.65298507462688,101.30597014925374,,100.27985074626866,99.62686567164178,98.6007462686567,97.10820895522387,97.94776119402985,98.41417910447761,95.24253731343283,97.76119402985074
2013-06-01,Rural,2013,June,112.3,112.1,108.1,108.3,105.9,109.2,118.0,106.8,104.1,105.4,108.2,111.0,110.6,109.0,109.7,108.8,109.5,,108.5,107.5,106.3,105.0,105.6,106.5,102.5,105.5,108.9,1.585820895522394,,103.12213039485766,102.93847566574838,99.26538108356289,99.44903581267216,97.2451790633609,100.2754820936639,108.356290174472,98.07162534435261,95.5922865013774,96.7860422405877,99.35720844811755,101.92837465564737,101.56106519742882,100.09182736455465,100.73461891643709,99.90817263544535,100.55096418732784,,99.63269054178144,98.71441689623506,97.61248852157942,96.41873278236915,96.96969696969695,97.7961432506887,94.1230486685032,96.87786960514234
2013-07-01,Rural,2013,July,113.4,114.9,110.5,109.3,106.2,110.3,129.2,107.1,104.3,106.4,109.1,112.1,113.1,109.8,110.5,109.5,110.3,,109.5,108.3,106.9,106.8,106.4,107.8,102.5,106.5,110.7,1.6528925619834656,,102.4390243902439,103.7940379403794,99.8193315266486,98.73532068654019,95.9349593495935,99.6386630532972,116.71183378500449,96.74796747967478,94.2186088527552,96.11562782294489,98.55465221318879,101.2646793134598,102.1680216802168,99.1869918699187,99.8193315266486,98.9159891598916,99.6386630532972,,98.9159891598916,97.8319783197832,96.56729900632341,96.4769647696477,96.11562782294489,97.38030713640468,92.5925925925926,96.2059620596206
2013-08-01,Rural,2013,August,114.3,115.4,111.1,110.0,106.4,110.8,138.9,107.4,104.1,106.9,109.7,112.6,114.9,110.7,111.3,110.2,111.1,,109.9,108.7,107.5,107.8,106.8,108.7,105.0,107.5,112.1,1.2646793134597931,,101.96253345227476,102.94380017841213,99.1079393398751,98.12667261373774,94.91525423728815,98.84032114183765,123.90722569134702,95.80731489741304,92.86351471900089,95.3612845673506,97.85905441570027,100.44603033006246,102.4977698483497,98.75111507582517,99.28635147190009,98.30508474576271,99.1079393398751,,98.03746654772526,96.96699375557539,95.89652096342552,96.16413916146298,95.2720785013381,96.96699375557539,93.6663693131133,95.89652096342552
2013-09-01,Rural,2013,September,115.4,115.7,111.7,111.0,107.4,110.9,154.0,108.1,104.2,107.9,110.4,114.0,117.8,111.7,112.7,111.4,112.5,,111.1,109.6,108.3,109.3,107.7,109.8,106.7,108.7,114.2,1.873327386262269,,101.05078809106831,101.31348511383538,97.8108581436077,97.19789842381786,94.04553415061297,97.11033274956218,134.85113835376532,94.6584938704028,91.24343257443083,94.48336252189142,96.67250437828372,99.82486865148861,103.15236427320488,97.8108581436077,98.68651488616462,97.54816112084063,98.51138353765324,,97.28546409807355,95.97197898423818,94.8336252189142,95.70928196147109,94.30823117338004,96.14711033274955,93.43257443082311,95.18388791593695
2013-10-01,Rural,2013,October,116.3,115.4,112.6,111.7,107.7,113.2,164.9,108.3,103.9,108.2,111.1,114.9,119.8,112.2,113.6,112.3,113.4,,111.6,110.4,108.9,109.3,108.3,110.2,107.5,109.1,115.5,1.138353765323985,,100.6926406926407,99.91341991341992,97.48917748917748,96.70995670995671,93.24675324675324,98.00865800865802,142.77056277056278,93.76623376623377,89.95670995670996,93.67965367965368,96.19047619047618,99.48051948051948,103.72294372294373,97.14285714285714,98.35497835497836,97.22943722943724,98.18181818181819,,96.62337662337663,95.5844155844156,94.28571428571429,94.63203463203463,93.76623376623377,95.41125541125541,93.07359307359307,94.45887445887445
